ruleId	silverMoney	contribute	bindingGoldMoney	zp	goodsId1	goodsNum1	goodsBind1	goodsId2	goodsNum2	goodsBind2	goodsId3	goodsNum3	goodsBind3	mailTitle	mailContent
114			320		200052	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得4连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]副掌门[\C]ffffffff[C]，将获得以下奖励：
115			200		200052	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得4连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]长老[\C]ffffffff[C]，将获得以下奖励：
116			80		200052	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得4连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]弟子[\C]ffffffff[C]，将获得以下奖励：
117			500		200051	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得5连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]掌门[\C]ffffffff[C]，将获得以下奖励：
118			400		200052	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得5连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]副掌门[\C]ffffffff[C]，将获得以下奖励：
119			250		200052	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得5连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]长老[\C]ffffffff[C]，将获得以下奖励：
120			100		200052	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得5连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]弟子[\C]ffffffff[C]，将获得以下奖励：
121			600		200051	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得6连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]掌门[\C]ffffffff[C]，将获得以下奖励：
122			480		200052	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得6连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]副掌门[\C]ffffffff[C]，将获得以下奖励：
123			300		200052	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得6连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]长老[\C]ffffffff[C]，将获得以下奖励：
124			120		200052	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得6连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]弟子[\C]ffffffff[C]，将获得以下奖励：
125			700		200051	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得7连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]掌门[\C]ffffffff[C]，将获得以下奖励：
126			560		200052	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得7连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]副掌门[\C]ffffffff[C]，将获得以下奖励：
127			350		200052	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得7连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]长老[\C]ffffffff[C]，将获得以下奖励：
128			140		200052	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得7连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]弟子[\C]ffffffff[C]，将获得以下奖励：
129			800		200051	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得8连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]掌门[\C]ffffffff[C]，将获得以下奖励：
130			640		200052	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得8连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]副掌门[\C]ffffffff[C]，将获得以下奖励：
131			400		200052	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得8连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]长老[\C]ffffffff[C]，将获得以下奖励：
132			160		200052	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得8连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]弟子[\C]ffffffff[C]，将获得以下奖励：
133			900		200051	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得9连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]掌门[\C]ffffffff[C]，将获得以下奖励：
134			720		200052	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得9连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]副掌门[\C]ffffffff[C]，将获得以下奖励：
135			450		200052	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得9连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]长老[\C]ffffffff[C]，将获得以下奖励：
136			180		200052	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得9连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]弟子[\C]ffffffff[C]，将获得以下奖励：
137			1000		200051	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得10连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]掌门[\C]ffffffff[C]，将获得以下奖励：
138			800		200052	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得10连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]副掌门[\C]ffffffff[C]，将获得以下奖励：
139			500		200052	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得10连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]长老[\C]ffffffff[C]，将获得以下奖励：
140			200		200052	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得10连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]弟子[\C]ffffffff[C]，将获得以下奖励：
141			1100		200051	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得10次以上连胜！\n\n您作为[\C]ff56ff35[C]掌门[\C]ffffffff[C]，将获得以下奖励：
142			880		200052	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得10次以上连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]副掌门[\C]ffffffff[C]，将获得以下奖励：
143			550		200052	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得10次以上连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]长老[\C]ffffffff[C]，将获得以下奖励：
144			220		200052	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得10次以上连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]弟子[\C]ffffffff[C]，将获得以下奖励：
